DigitalId,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2310630,P,A,A,P,P,A,P,A,A,P,P,A,P,A,A,A,P,P,P,A,A,A,P,A,P,P,P,A,P,P,A
2310631,A,A,A,A,P,P,A,P,P,P,A,A,A,A,P,P,P,A,P,P,P,A,A,A,A,P,P,A,P,A,P
2310632,A,P,P,P,A,A,A,A,P,A,A,A,P,P,P,A,P,A,P,A,A,P,P,A,P,P,P,A,P,P,A
2310633,A,P,A,P,P,A,A,A,P,A,A,P,P,P,P,A,P,P,P,P,P,A,A,P,P,A,A,A,P,P,A
2310634,P,A,A,P,P,P,A,A,P,P,P,A,A,P,A,P,P,A,A,A,P,A,P,A,A,P,A,P,A,P,P
2310635,P,P,A,P,A,A,P,P,A,P,A,A,P,P,A,A,P,P,P,P,A,P,A,P,A,A,P,A,A,P,A
2310636,A,A,P,A,P,P,A,P,A,P,A,A,P,P,A,A,P,P,P,P,P,A,A,P,P,A,P,A,A,P,P
2310637,P,A,A,A,A,A,P,A,P,P,A,A,P,A,A,P,P,P,A,A,A,P,P,P,A,P,P,A,P,A,P
2310638,P,A,A,P,A,P,P,P,A,P,A,A,P,A,A,A,P,P,P,P,A,A,P,P,P,A,A,P,A,P,A
2310639,A,P,A,A,P,P,A,P,P,A,P,A,P,P,P,A,P,A,A,A,P,P,A,P,P,A,P,P,A,P,P
2310640,A,A,P,P,A,P,A,A,P,P,A,P,A,P,P,A,P,A,A,A,P,P,A,A,P,P,A,P,P,P,P
2310641,P,A,A,P,P,P,A,P,P,A,A,P,A,A,P,A,P,P,A,A,P,A,P,P,A,A,P,A,P,P,P
2310642,P,A,P,P,A,P,A,P,A,P,P,A,P,A,P,P,P,A,P,P,A,P,A,P,A,P,P,A,A,P,P
2310643,A,P,A,P,A,A,A,P,P,P,A,A,P,P,A,A,P,A,A,A,P,A,P,A,P,A,P,A,P,P,A
2310644,P,A,P,A,P,A,P,P,A,P,P,A,A,P,A,P,A,P,A,A,P,P,P,A,P,A,A,P,A,P,P
2310645,A,A,P,A,P,P,P,A,A,P,P,P,A,A,P,A,P,A,P,A,P,A,A,P,P,A,A,A,P,P,A
2310646,A,P,A,P,A,A,P,P,A,A,A,P,P,P,A,A,A,P,A,P,P,P,A,A,A,P,P,A,P,P,P
2310647,A,A,A,A,P,P,A,A,A,P,P,A,P,P,A,A,P,P,P,A,P,P,A,P,A,A,P,A,P,P,P
2310648,P,P,A,A,P,P,P,A,A,P,A,P,A,A,P,P,A,P,A,A,P,P,P,A,A,P,P,P,P,P,A
2310649,P,A,A,P,A,P,A,P,A,A,A,A,P,A,A,P,P,P,P,A,P,P,P,P,P,A,P,A,A,P,P
2310650,A,P,P,P,P,A,A,A,P,A,P,A,A,A,P,A,P,A,A,P,P,P,P,P,P,A,P,P,P,A,A
2310651,P,A,A,A,A,P,A,P,P,P,A,P,A,P,P,P,A,A,A,P,P,A,P,A,P,P,A,P,A,A,P
2310652,A,P,A,P,A,P,P,A,A,P,P,A,P,A,A,A,A,P,A,P,A,A,A,P,P,A,P,A,P,P,A
2310653,P,A,P,A,A,P,P,A,P,P,A,P,P,A,P,A,A,P,P,A,A,P,A,A,P,P,P,A,P,A,A
2310654,P,A,A,P,P,A,P,A,A,P,P,A,P,A,A,A,P,P,P,A,A,A,P,A,P,P,P,A,P,P,A
2310655,A,A,A,A,P,P,A,P,P,P,A,A,A,A,P,P,P,A,P,P,P,A,A,A,A,P,P,A,P,A,P
2310656,A,P,P,P,A,A,A,A,P,A,A,A,P,P,P,A,P,A,P,A,A,P,P,A,P,P,P,A,P,P,A
2310657,A,P,A,P,P,A,A,A,P,A,A,P,P,P,P,A,P,P,P,P,P,A,A,P,P,A,A,A,P,P,A
2310658,P,A,A,P,P,P,A,A,P,P,P,A,A,P,A,P,P,A,A,A,P,A,P,A,A,P,A,P,A,P,P
2310659,P,P,A,P,A,A,P,P,A,P,A,A,P,P,A,A,P,P,P,P,A,P,A,P,A,A,P,A,A,P,A
2310660,A,A,P,A,P,P,A,P,A,P,A,A,P,P,A,A,P,P,P,P,P,A,A,P,P,A,P,A,A,P,P
2310661,P,A,A,A,A,A,P,A,P,P,A,A,P,A,A,P,P,P,A,A,A,P,P,P,A,P,P,A,P,A,P
2310662,P,A,A,P,A,P,P,P,A,P,A,A,P,A,A,A,P,P,P,P,A,A,P,P,P,A,A,P,A,P,A
2310663,A,P,A,A,P,P,A,P,P,A,P,A,P,P,P,A,P,A,A,A,P,P,A,P,P,A,P,P,A,P,P
2310664,A,A,P,P,A,P,A,A,P,P,A,P,A,P,P,A,P,A,A,A,P,P,A,A,P,P,A,P,P,P,P
2310665,P,A,A,P,P,P,A,P,P,A,A,P,A,A,P,A,P,P,A,A,P,A,P,P,A,A,P,A,P,P,P
2310666,P,A,P,P,A,P,A,P,A,P,P,A,P,A,P,P,P,A,P,P,A,P,A,P,A,P,P,A,A,P,P
2310667,P,P,A,P,A,A,A,P,P,P,A,A,P,P,A,A,P,A,A,A,P,A,P,A,P,A,P,A,P,P,A
